fecha,empresa,numero_comprobante,articulo,precio_original,precio_normalizado,moneda,origen_dato,metodo_estimacion,observaciones_origen
2022-01-03,HOLCIM,0280-00133721,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-03,HOLCIM,0280-00133722,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-03,HOLCIM,0280-00133723,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-04,HOLCIM,0280-00133741,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-04,HOLCIM,0280-00133742,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-04,HOLCIM,0280-00133743,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-04,HOLCIM,0280-00133744,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-05,HOLCIM,0280-00133789,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-05,HOLCIM,0280-00133790,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-05,HOLCIM,0280-00133791,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-05,HOLCIM,0280-00133792,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-06,HOLCIM,0280-00133814,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-06,HOLCIM,0280-00133815,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-06,HOLCIM,0280-00133816,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-06,HOLCIM,0280-00133817,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-06,HOLCIM,0280-00133818,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-07,HOLCIM,0280-00133879,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-07,HOLCIM,0280-00133880,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-07,HOLCIM,0280-00133881,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-07,HOLCIM,0280-00133882,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-27,HOLCIM,0280-00134476,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-27,HOLCIM,0280-00134477,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-28,HOLCIM,0280-00134507,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-28,HOLCIM,0280-00134508,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-28,HOLCIM,0280-00134509,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-29,HOLCIM,0280-00134562,CEMENTO CPC40 BOL 50 KG,603.61,12.0722,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-31,HOLCIM,0280-00134616,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-01-31,HOLCIM,0280-00134617,CEMENTO CPC40 BOL 50 KG,627.76,12.5551,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
