date,value
2022-01-01,934.3361900233696
2022-02-01,978.603256970286
2022-03-01,1040.5419938330967
2022-04-01,1101.9533166314045
2022-05-01,1158.9222798841115
2022-06-01,1214.824148470205
2022-07-01,1300.837282675061
2022-08-01,1407.1975423211811
2022-09-01,1484.3423363897232
2022-10-01,1555.2267205418964
2022-11-01,1653.1188909161824
2022-12-01,1754.575551529618
2023-01-01,1868.3020153484315
2023-02-01,1999.6036244611848
2023-03-01,2100.7589759647108
2023-04-01,2246.410649891486
2023-05-01,2405.5159024875934
2023-06-01,2585.6667905268096
2023-07-01,2767.10627207114
2023-08-01,3284.864260787335
2023-09-01,3587.4863773313264
2023-10-01,3858.68277968591
2023-11-01,4287.0202983057015
2023-12-01,6603.3692409574605
2024-01-01,7788.8552670587005
2024-02-01,8579.885136895673
2024-03-01,9044.947359255844
2024-04-01,9356.888042130906
2024-05-01,9682.8153621046
2024-06-01,9940.066614352716
2024-07-01,10246.484931852285
2024-08-01,10458.627751033107
2024-09-01,10665.28249725194
2024-10-01,10791.47939854304
2024-11-01,10941.223782023582
2024-12-01,11034.04378561895
2025-01-01,11200.301971921785
2025-02-01,11384.050546592229
2025-03-01,11552.832552532756
2025-04-01,11880.250204486576
2025-05-01,11849.378594486843
2025-06-01,12044.399315039009
2025-07-01,12387.322425562155
2025-08-01,12771.68798097931
2025-09-01,13243.426976902669
2025-10-01,13387.004502415297
2025-11-01,13599.278412810996
2025-12-01,13925.559844742707
2026-01-01,14157.713827594283
2026-02-01,14296.328610909392
2026-03-01,14780.133332093068
