casa,compra,venta,fecha
contadoconliqui,1516.9,1523.3,2026-01-01
contadoconliqui,1533.8,1534.5,2026-01-02
contadoconliqui,1533.8,1534.5,2026-01-03
contadoconliqui,1533.8,1534.5,2026-01-04
contadoconliqui,1535.3,1536.6,2026-01-05
contadoconliqui,1533.7,1534.6,2026-01-06
contadoconliqui,1530.8,1531.7,2026-01-07
contadoconliqui,1526.4,1529.3,2026-01-08
contadoconliqui,1525.5,1526.6,2026-01-09
contadoconliqui,1525.5,1526.6,2026-01-10
contadoconliqui,1525.5,1526.6,2026-01-11
contadoconliqui,1523.9,1524.9,2026-01-12
contadoconliqui,1526.5,1527.8,2026-01-13
contadoconliqui,1519.4,1522.9,2026-01-14
contadoconliqui,1509.2,1515.2,2026-01-15
contadoconliqui,1512.5,1514.0,2026-01-16
contadoconliqui,1512.5,1514.0,2026-01-17
contadoconliqui,1512.5,1514.0,2026-01-18
contadoconliqui,1512.5,1514.0,2026-01-19
contadoconliqui,1516.9,1517.7,2026-01-20
contadoconliqui,1511.3,1514.4,2026-01-21
contadoconliqui,1505.6,1507.1,2026-01-22
contadoconliqui,1508.0,1513.9,2026-01-23
contadoconliqui,1508.0,1513.9,2026-01-24
contadoconliqui,1508.0,1513.9,2026-01-25
contadoconliqui,1516.2,1516.6,2026-01-26
contadoconliqui,1507.8,1509.4,2026-01-27
contadoconliqui,1507.9,1509.1,2026-01-28
contadoconliqui,1504.4,1505.4,2026-01-29
contadoconliqui,1498.2,1499.4,2026-01-30
contadoconliqui,1498.2,1499.4,2026-01-31
contadoconliqui,1498.2,1499.4,2026-02-01
contadoconliqui,1495.2,1496.6,2026-02-03
contadoconliqui,1492.6,1494.6,2026-02-04
contadoconliqui,1504.4,1505.6,2026-02-05
contadoconliqui,1488.2,1489.2,2026-02-06
contadoconliqui,1488.2,1489.2,2026-02-07
contadoconliqui,1488.2,1489.2,2026-02-08
contadoconliqui,1477.7,1480.5,2026-02-09
contadoconliqui,1472.1,1473.8,2026-02-10
contadoconliqui,1473.6,1476.4,2026-02-11
contadoconliqui,1462.2,1464.9,2026-02-12
contadoconliqui,1464.4,1465.8,2026-02-13
contadoconliqui,1464.4,1465.8,2026-02-14
contadoconliqui,1464.4,1465.8,2026-02-15
contadoconliqui,1464.4,1465.8,2026-02-16
contadoconliqui,1464.4,1465.8,2026-02-17
contadoconliqui,1452.4,1453.4,2026-02-18
contadoconliqui,1446.3,1447.1,2026-02-19
contadoconliqui,1443.5,1445.7,2026-02-20
contadoconliqui,1443.5,1445.7,2026-02-21
contadoconliqui,1443.5,1445.7,2026-02-22
contadoconliqui,1440.8,1441.9,2026-02-23
contadoconliqui,1446.1,1447.7,2026-02-24
contadoconliqui,1471.3,1473.6,2026-02-25
contadoconliqui,1479.2,1481.6,2026-02-26
contadoconliqui,1460.1,1462.7,2026-02-27
