casa,compra,venta,fecha
cripto,1526.2,1546.27,2026-01-01
cripto,1528.44,1547.21,2026-01-02
cripto,1530.0,1550.82,2026-01-03
cripto,1529.78,1547.79,2026-01-04
cripto,1518.42,1541.06,2026-01-05
cripto,1509.73,1534.43,2026-01-06
cripto,1515.79,1531.5,2026-01-07
cripto,1514.01,1534.3,2026-01-08
cripto,1505.06,1528.1,2026-01-09
cripto,1511.41,1531.36,2026-01-10
cripto,1515.59,1536.25,2026-01-11
cripto,1516.79,1535.08,2026-01-12
cripto,1517.27,1534.74,2026-01-13
cripto,1512.8,1532.1,2026-01-14
cripto,1503.61,1523.81,2026-01-15
cripto,1499.16,1517.73,2026-01-16
cripto,1506.05,1525.4,2026-01-17
cripto,1506.7,1524.17,2026-01-18
cripto,1515.4,1515.5,2026-01-19
cripto,1521.0,1521.1,2026-01-20
cripto,1516.0,1516.1,2026-01-21
cripto,1512.9,1513.0,2026-01-22
cripto,1516.4,1516.5,2026-01-23
cripto,1516.9,1517.0,2026-01-24
cripto,1523.5,1523.6,2026-01-25
cripto,1517.1,1517.2,2026-01-26
cripto,1514.7,1514.8,2026-01-27
cripto,1512.8,1512.9,2026-01-28
cripto,1509.3,1509.4,2026-01-29
cripto,1503.0,1503.1,2026-01-30
cripto,1530.5,1530.7,2026-01-31
cripto,1528.1,1528.2,2026-02-01
cripto,1497.7,1497.8,2026-02-03
cripto,1501.1,1501.2,2026-02-04
cripto,1522.3,1522.4,2026-02-05
cripto,1501.3,1502.3,2026-02-06
cripto,1502.9,1503.0,2026-02-07
cripto,1493.5,1493.6,2026-02-08
cripto,1475.3,1475.4,2026-02-09
cripto,1462.8,1463.6,2026-02-10
cripto,1469.1,1469.2,2026-02-11
cripto,1469.0,1469.1,2026-02-12
cripto,1467.8,1467.9,2026-02-13
cripto,1479.4,1479.5,2026-02-14
cripto,1478.2,1478.3,2026-02-15
cripto,1481.5,1481.6,2026-02-16
cripto,1483.1,1483.2,2026-02-17
cripto,1464.3,1464.4,2026-02-18
cripto,1454.9,1455.0,2026-02-19
cripto,1455.0,1455.1,2026-02-20
cripto,1457.8,1457.9,2026-02-21
cripto,1459.1,1459.2,2026-02-22
cripto,1446.3,1446.4,2026-02-23
cripto,1448.3,1448.4,2026-02-24
cripto,1471.3,1471.4,2026-02-25
cripto,1479.0,1479.1,2026-02-26
cripto,1467.2,1467.3,2026-02-27
cripto,1484.5,1484.6,2026-02-28
cripto,1485.8,1485.9,2026-03-01
cripto,1452.7,1453.0,2026-03-02
cripto,1478.4,1478.5,2026-03-03
cripto,1465.0,1465.1,2026-03-04
cripto,1467.9,1468.0,2026-03-05
cripto,1462.2,1462.3,2026-03-06
cripto,1467.3,1467.4,2026-03-07
cripto,1476.1,1476.2,2026-03-08
cripto,1472.8,1472.9,2026-03-09
cripto,1456.2,1456.3,2026-03-10
cripto,1457.7,1457.8,2026-03-11
cripto,1462.2,1462.3,2026-03-12
cripto,1468.8,1468.9,2026-03-13
cripto,1475.4,1475.5,2026-03-14
cripto,1472.3,1472.4,2026-03-15
cripto,1472.7,1472.8,2026-03-16
cripto,1469.3,1469.4,2026-03-17
cripto,1475.1,1475.2,2026-03-18
cripto,1473.6,1473.7,2026-03-19
cripto,1475.8,1475.9,2026-03-20
cripto,1480.6,1480.7,2026-03-21
cripto,1479.7,1479.8,2026-03-22
cripto,1474.4,1474.5,2026-03-23
cripto,1473.0,1473.1,2026-03-24
cripto,1458.9,1459.0,2026-03-25
cripto,1454.5,1454.6,2026-03-26
cripto,1471.9,1472.0,2026-03-27
cripto,1473.7,1473.8,2026-03-28
cripto,1477.9,1478.0,2026-03-29
cripto,1475.4,1475.5,2026-03-30
cripto,1470.3,1470.4,2026-03-31
cripto,1477.0,1477.6,2026-04-01
cripto,1456.1,1457.2,2026-04-02
cripto,1464.7,1464.8,2026-04-03
cripto,1462.2,1462.3,2026-04-04
cripto,1461.8,1461.9,2026-04-05
cripto,1466.3,1466.4,2026-04-06
cripto,1473.9,1474.0,2026-04-07
cripto,1472.4,1472.5,2026-04-08
cripto,1472.0,1472.1,2026-04-09
cripto,1467.0,1467.1,2026-04-10
cripto,1471.2,1471.3,2026-04-11
cripto,1469.8,1469.9,2026-04-12
cripto,1466.1,1466.3,2026-04-13
cripto,1461.0,1461.1,2026-04-14
cripto,1457.9,1458.0,2026-04-15
cripto,1453.8,1453.9,2026-04-16
cripto,1454.0,1454.5,2026-04-17
cripto,1453.9,1454.0,2026-04-18
cripto,1456.0,1456.1,2026-04-19
cripto,1454.3,1455.3,2026-04-20
cripto,1465.1,1465.6,2026-04-21
cripto,1469.1,1469.2,2026-04-22
cripto,1478.2,1478.3,2026-04-23
cripto,1483.5,1484.2,2026-04-24
cripto,1483.8,1483.9,2026-04-25
cripto,1482.0,1482.1,2026-04-26
cripto,1499.6,1499.7,2026-04-27
cripto,1499.7,1499.8,2026-04-28
