casa,compra,venta,fecha
mayorista,1446.0,1455.0,2026-01-01
mayorista,1466.0,1475.0,2026-01-02
mayorista,1466.0,1475.0,2026-01-03
mayorista,1466.0,1475.0,2026-01-04
mayorista,1461.0,1470.0,2026-01-05
mayorista,1458.5,1467.5,2026-01-06
mayorista,1451.0,1460.0,2026-01-07
mayorista,1455.0,1464.0,2026-01-08
mayorista,1456.0,1465.0,2026-01-09
mayorista,1456.0,1465.0,2026-01-10
mayorista,1456.0,1465.0,2026-01-11
mayorista,1458.5,1467.5,2026-01-12
mayorista,1466.0,1457.0,2026-01-13
mayorista,1444.0,1453.0,2026-01-14
mayorista,1432.0,1441.0,2026-01-15
mayorista,1421.0,1430.0,2026-01-16
mayorista,1421.0,1430.0,2026-01-17
mayorista,1421.0,1430.0,2026-01-18
mayorista,1425.5,1434.5,2026-01-19
mayorista,1425.5,1434.5,2026-01-20
mayorista,1421.5,1430.5,2026-01-21
mayorista,1420.5,1429.5,2026-01-22
mayorista,1424.0,1433.0,2026-01-23
mayorista,1424.0,1433.0,2026-01-24
mayorista,1424.0,1433.0,2026-01-25
mayorista,1428.5,1437.5,2026-01-26
mayorista,1433.5,1442.5,2026-01-27
mayorista,1435.5,1444.5,2026-01-28
mayorista,1435.5,1444.5,2026-01-29
mayorista,1438.0,1447.0,2026-01-30
mayorista,1438.0,1447.0,2026-01-31
mayorista,1438.0,1447.0,2026-02-01
mayorista,1437.0,1446.0,2026-02-03
mayorista,1437.0,1446.0,2026-02-04
mayorista,1433.0,1442.0,2026-02-05
mayorista,1423.0,1432.0,2026-02-06
mayorista,1423.0,1432.0,2026-02-07
mayorista,1423.0,1432.0,2026-02-08
mayorista,1407.0,1416.0,2026-02-09
mayorista,1397.0,1406.0,2026-02-10
mayorista,1391.0,1400.0,2026-02-11
mayorista,1386.0,1395.0,2026-02-12
mayorista,1390.5,1399.5,2026-02-13
mayorista,1390.5,1399.5,2026-02-14
mayorista,1390.5,1399.5,2026-02-15
mayorista,1390.5,1399.5,2026-02-16
mayorista,1390.5,1399.5,2026-02-17
mayorista,1387.0,1396.0,2026-02-18
mayorista,1380.0,1389.0,2026-02-19
mayorista,1367.0,1376.0,2026-02-20
mayorista,1367.0,1376.0,2026-02-21
mayorista,1367.0,1376.0,2026-02-22
mayorista,1361.5,1370.5,2026-02-23
mayorista,1371.5,1380.5,2026-02-24
mayorista,1383.0,1392.0,2026-02-25
mayorista,1399.0,1408.0,2026-02-26
mayorista,1388.0,1397.0,2026-02-27
mayorista,1388.0,1397.0,2026-02-28
mayorista,1388.0,1397.0,2026-03-01
mayorista,1386.0,1395.0,2026-03-02
mayorista,1406.0,1415.0,2026-03-03
mayorista,1391.5,1400.5,2026-03-04
mayorista,1398.0,1407.0,2026-03-05
mayorista,1407.0,1416.0,2026-03-06
mayorista,1407.0,1416.0,2026-03-07
mayorista,1407.0,1416.0,2026-03-08
mayorista,1407.0,1416.0,2026-03-09
mayorista,1391.0,1400.0,2026-03-10
mayorista,1387.0,1396.0,2026-03-11
mayorista,1385.5,1394.5,2026-03-12
mayorista,1391.0,1400.0,2026-03-13
mayorista,1391.0,1400.0,2026-03-14
mayorista,1391.0,1400.0,2026-03-15
mayorista,1387.0,1396.0,2026-03-16
mayorista,1387.0,1396.0,2026-03-17
mayorista,1385.0,1394.0,2026-03-18
mayorista,1385.5,1394.5,2026-03-19
mayorista,1381.5,1390.5,2026-03-20
mayorista,1381.5,1390.5,2026-03-21
mayorista,1381.5,1390.5,2026-03-22
mayorista,1381.5,1390.5,2026-03-23
mayorista,1381.5,1390.5,2026-03-24
mayorista,1368.5,1377.5,2026-03-25
mayorista,1359.0,1368.0,2026-03-26
mayorista,1373.5,1382.5,2026-03-27
mayorista,1373.5,1382.5,2026-03-28
mayorista,1373.5,1382.5,2026-03-29
mayorista,1389.0,1398.0,2026-03-30
mayorista,1373.0,1382.0,2026-03-31
mayorista,1385.0,1394.0,2026-04-01
mayorista,1385.0,1394.0,2026-04-02
mayorista,1385.0,1394.0,2026-04-03
mayorista,1385.0,1394.0,2026-04-04
mayorista,1385.0,1394.0,2026-04-05
mayorista,1384.0,1393.0,2026-04-06
mayorista,1383.5,1392.5,2026-04-07
mayorista,1378.5,1387.5,2026-04-08
mayorista,1372.0,1381.0,2026-04-09
mayorista,1361.0,1370.0,2026-04-10
mayorista,1361.0,1370.0,2026-04-11
mayorista,1361.0,1370.0,2026-04-12
mayorista,1345.0,1354.0,2026-04-13
mayorista,1355.0,1364.0,2026-04-14
mayorista,1350.0,1359.0,2026-04-15
mayorista,1349.0,1358.0,2026-04-16
mayorista,1355.5,1364.5,2026-04-17
mayorista,1355.5,1364.5,2026-04-18
mayorista,1355.5,1364.5,2026-04-19
mayorista,1368.0,1377.0,2026-04-20
mayorista,1366.5,1375.5,2026-04-21
mayorista,1369.0,1378.0,2026-04-22
mayorista,1383.0,1392.0,2026-04-23
mayorista,1390.5,1399.5,2026-04-24
mayorista,1390.5,1399.5,2026-04-25
mayorista,1390.5,1399.5,2026-04-26
mayorista,1408.0,1417.0,2026-04-27
mayorista,1395.5,1404.5,2026-04-28
