casa,compra,venta,fecha
solidario,58.0,81.9,2020-01-02
solidario,57.98,81.87,2020-01-03
solidario,57.98,81.87,2020-01-04
solidario,57.98,81.87,2020-01-05
solidario,57.99,81.89,2020-01-06
solidario,57.99,81.89,2020-01-07
solidario,57.99,81.89,2020-01-08
solidario,57.98,81.87,2020-01-09
solidario,57.96,81.85,2020-01-10
solidario,57.96,81.85,2020-01-11
solidario,57.96,81.85,2020-01-12
solidario,57.96,81.85,2020-01-13
solidario,57.97,81.86,2020-01-14
solidario,57.98,81.87,2020-01-15
solidario,57.97,81.86,2020-01-16
solidario,57.97,81.86,2020-01-17
solidario,57.97,81.86,2020-01-18
solidario,57.97,81.86,2020-01-19
solidario,57.97,81.86,2020-01-20
solidario,57.98,81.87,2020-01-21
solidario,57.98,81.87,2020-01-22
solidario,57.98,81.87,2020-01-23
solidario,57.98,81.87,2020-01-24
solidario,57.98,81.87,2020-01-25
solidario,57.98,81.87,2020-01-26
solidario,57.97,81.86,2020-01-27
solidario,58.07,81.99,2020-01-28
solidario,57.97,81.86,2020-01-29
solidario,57.97,81.86,2020-01-30
solidario,58.03,81.94,2020-01-31
solidario,58.03,81.94,2020-02-01
solidario,58.03,81.94,2020-02-02
solidario,58.05,81.97,2020-02-03
solidario,58.07,81.99,2020-02-04
solidario,57.1,82.03,2020-02-05
solidario,57.01,81.91,2020-02-06
solidario,57.05,81.97,2020-02-07
solidario,57.05,81.97,2020-02-08
solidario,57.05,81.97,2020-02-09
solidario,57.31,82.3,2020-02-10
solidario,57.46,82.5,2020-02-11
solidario,57.62,82.71,2020-02-12
solidario,57.66,82.76,2020-02-13
solidario,57.73,82.85,2020-02-14
solidario,57.73,82.85,2020-02-15
solidario,57.73,82.85,2020-02-16
solidario,58.78,82.91,2020-02-17
solidario,58.99,83.19,2020-02-18
solidario,58.71,82.82,2020-02-19
solidario,58.86,83.02,2020-02-20
solidario,58.99,83.19,2020-02-21
solidario,58.99,83.19,2020-02-22
solidario,58.99,83.19,2020-02-23
solidario,58.99,83.19,2020-02-24
solidario,58.99,83.19,2020-02-25
solidario,59.09,83.32,2020-02-26
solidario,59.03,83.24,2020-02-27
solidario,59.26,83.54,2020-02-28
solidario,59.26,83.54,2020-02-29
solidario,59.26,83.54,2020-03-01
solidario,59.39,83.71,2020-03-02
solidario,59.51,83.86,2020-03-03
solidario,59.53,83.89,2020-03-04
solidario,59.41,83.73,2020-03-05
solidario,59.71,84.12,2020-03-06
solidario,59.71,84.12,2020-03-07
solidario,59.71,84.12,2020-03-08
solidario,59.71,84.12,2020-03-09
solidario,59.72,84.14,2020-03-10
solidario,59.74,84.16,2020-03-11
solidario,60.02,84.53,2020-03-12
solidario,60.05,84.56,2020-03-13
solidario,60.05,84.56,2020-03-14
solidario,60.05,84.56,2020-03-15
solidario,60.09,84.62,2020-03-16
solidario,59.96,84.45,2020-03-17
solidario,60.46,85.1,2020-03-18
solidario,60.59,85.27,2020-03-19
solidario,60.91,85.68,2020-03-20
solidario,60.91,85.68,2020-03-21
solidario,60.91,85.68,2020-03-22
solidario,60.91,85.68,2020-03-23
solidario,60.91,85.68,2020-03-24
