casa,compra,venta,fecha
blue,204.0,208.0,2022-01-01
blue,204.0,208.0,2022-01-02
blue,202.0,206.0,2022-01-03
blue,202.0,206.0,2022-01-04
blue,203.0,207.0,2022-01-05
blue,204.0,208.0,2022-01-06
blue,204.0,208.0,2022-01-07
blue,204.0,208.0,2022-01-08
blue,204.0,208.0,2022-01-09
blue,202.0,206.0,2022-01-10
blue,205.0,209.0,2022-01-11
blue,204.0,208.0,2022-01-12
blue,206.0,210.0,2022-01-13
blue,206.0,210.0,2022-01-14
blue,206.0,210.0,2022-01-15
blue,206.0,210.0,2022-01-16
blue,205.0,209.0,2022-01-17
blue,207.0,211.0,2022-01-18
blue,209.0,213.0,2022-01-19
blue,210.0,214.0,2022-01-20
blue,215.0,219.0,2022-01-21
blue,215.0,219.0,2022-01-22
blue,215.0,219.0,2022-01-23
blue,215.0,219.0,2022-01-24
blue,216.0,220.0,2022-01-25
blue,217.0,221.0,2022-01-26
blue,218.0,222.0,2022-01-27
blue,208.0,212.0,2022-01-28
blue,208.0,212.0,2022-01-29
blue,208.0,212.0,2022-01-30
blue,209.0,213.0,2022-01-31
blue,210.0,214.0,2022-02-01
blue,212.0,216.0,2022-02-02
blue,212.0,216.0,2022-02-03
blue,210.0,214.0,2022-02-04
blue,210.0,214.0,2022-02-05
blue,210.0,214.0,2022-02-06
blue,210.0,214.0,2022-02-07
blue,211.0,215.0,2022-02-08
blue,213.0,217.0,2022-02-09
blue,212.0,216.0,2022-02-10
blue,210.0,216.0,2022-02-11
blue,210.0,216.0,2022-02-12
blue,210.0,216.0,2022-02-13
blue,211.0,215.0,2022-02-14
blue,211.0,215.0,2022-02-15
blue,211.0,215.0,2022-02-16
blue,210.0,214.0,2022-02-17
blue,207.0,211.0,2022-02-18
blue,207.0,211.0,2022-02-19
blue,207.0,211.0,2022-02-20
blue,208.0,212.0,2022-02-21
blue,206.0,210.0,2022-02-22
blue,206.0,210.0,2022-02-23
blue,206.0,210.0,2022-02-24
blue,207.0,211.0,2022-02-25
blue,207.0,211.0,2022-02-26
blue,207.0,211.0,2022-02-27
blue,207.0,211.0,2022-02-28
blue,207.0,211.0,2022-03-01
blue,202.0,206.0,2022-03-02
blue,200.0,204.0,2022-03-03
blue,197.0,201.0,2022-03-04
blue,197.0,201.0,2022-03-05
blue,197.0,201.0,2022-03-06
blue,197.0,201.0,2022-03-07
blue,198.0,202.0,2022-03-08
blue,200.0,204.0,2022-03-09
blue,199.0,203.0,2022-03-10
blue,198.0,202.0,2022-03-11
blue,198.0,202.0,2022-03-12
blue,198.0,202.0,2022-03-13
blue,196.0,200.0,2022-03-14
blue,196.0,200.0,2022-03-15
blue,198.0,202.0,2022-03-16
blue,198.0,202.0,2022-03-17
blue,198.0,202.0,2022-03-18
blue,198.0,202.0,2022-03-19
blue,198.0,202.0,2022-03-20
blue,198.0,202.0,2022-03-21
blue,197.0,201.0,2022-03-22
blue,197.0,201.0,2022-03-23
blue,197.0,201.0,2022-03-24
blue,198.0,202.0,2022-03-25
blue,198.0,202.0,2022-03-26
blue,198.0,202.0,2022-03-27
blue,196.0,200.0,2022-03-28
blue,196.0,200.0,2022-03-29
blue,197.0,201.0,2022-03-30
blue,196.0,200.0,2022-03-31
blue,196.0,200.0,2022-04-01
blue,196.0,200.0,2022-04-02
blue,196.0,200.0,2022-04-03
blue,195.0,199.0,2022-04-04
blue,192.0,196.0,2022-04-05
blue,192.0,196.0,2022-04-06
blue,192.0,196.0,2022-04-07
blue,192.0,196.0,2022-04-08
blue,192.0,196.0,2022-04-09
blue,192.0,196.0,2022-04-10
blue,191.0,195.0,2022-04-11
blue,191.0,195.0,2022-04-12
blue,191.0,195.0,2022-04-13
blue,191.0,195.0,2022-04-14
blue,191.0,195.0,2022-04-15
blue,191.0,195.0,2022-04-16
blue,191.0,195.0,2022-04-17
blue,191.0,195.0,2022-04-18
blue,194.0,198.0,2022-04-19
blue,196.0,200.0,2022-04-20
blue,198.0,202.0,2022-04-21
blue,199.0,203.0,2022-04-22
blue,199.0,203.0,2022-04-23
blue,199.0,203.0,2022-04-24
blue,202.0,206.0,2022-04-25
blue,208.0,212.0,2022-04-26
blue,202.0,206.0,2022-04-27
blue,200.0,204.0,2022-04-28
blue,196.0,200.0,2022-04-29
blue,196.0,200.0,2022-04-30
blue,196.0,200.0,2022-05-01
blue,197.0,201.0,2022-05-02
blue,200.0,204.0,2022-05-03
blue,197.0,201.0,2022-05-04
blue,198.0,202.0,2022-05-05
blue,197.0,201.0,2022-05-06
blue,197.0,201.0,2022-05-07
blue,197.0,201.0,2022-05-08
blue,198.0,202.0,2022-05-09
blue,198.0,202.0,2022-05-10
blue,201.0,205.0,2022-05-11
blue,200.0,204.0,2022-05-12
blue,199.0,203.0,2022-05-13
blue,199.0,203.0,2022-05-14
blue,199.0,203.0,2022-05-15
blue,201.0,205.0,2022-05-16
blue,204.0,208.0,2022-05-17
blue,204.0,208.0,2022-05-18
blue,202.0,206.0,2022-05-19
blue,201.0,204.0,2022-05-20
blue,201.0,204.0,2022-05-21
blue,201.0,204.0,2022-05-22
blue,202.0,206.0,2022-05-23
blue,204.0,208.0,2022-05-24
blue,204.0,208.0,2022-05-25
blue,203.0,207.0,2022-05-26
blue,202.0,206.0,2022-05-27
blue,202.0,206.0,2022-05-28
blue,202.0,206.0,2022-05-29
blue,202.0,206.0,2022-05-30
blue,203.0,206.0,2022-05-31
blue,202.0,206.0,2022-06-01
blue,202.0,206.0,2022-06-02
blue,201.0,205.0,2022-06-03
blue,201.0,205.0,2022-06-04
blue,201.0,205.0,2022-06-05
blue,201.0,205.0,2022-06-06
blue,202.0,206.0,2022-06-07
blue,204.0,208.0,2022-06-08
blue,204.0,208.0,2022-06-09
blue,206.0,210.0,2022-06-10
blue,206.0,210.0,2022-06-11
blue,206.0,210.0,2022-06-12
blue,212.0,216.0,2022-06-13
blue,220.0,224.0,2022-06-14
blue,213.0,217.0,2022-06-15
blue,212.0,216.0,2022-06-16
blue,212.0,216.0,2022-06-17
blue,212.0,216.0,2022-06-18
blue,212.0,216.0,2022-06-19
blue,212.0,216.0,2022-06-20
blue,216.0,220.0,2022-06-21
blue,220.0,224.0,2022-06-22
blue,220.0,224.0,2022-06-23
blue,222.0,226.0,2022-06-24
blue,222.0,226.0,2022-06-25
blue,222.0,226.0,2022-06-26
blue,228.0,232.0,2022-06-27
blue,235.0,239.0,2022-06-28
blue,235.0,239.0,2022-06-29
blue,234.0,238.0,2022-06-30
blue,235.0,239.0,2022-07-01
blue,235.0,239.0,2022-07-02
blue,235.0,239.0,2022-07-03
blue,250.0,260.0,2022-07-04
blue,242.0,252.0,2022-07-05
blue,245.0,255.0,2022-07-06
blue,247.0,257.0,2022-07-07
blue,263.0,273.0,2022-07-08
blue,263.0,273.0,2022-07-09
blue,263.0,273.0,2022-07-10
blue,258.0,268.0,2022-07-11
blue,262.0,272.0,2022-07-12
blue,273.0,283.0,2022-07-13
blue,279.0,289.0,2022-07-14
blue,283.0,293.0,2022-07-15
blue,283.0,293.0,2022-07-16
blue,283.0,293.0,2022-07-17
blue,281.0,291.0,2022-07-18
blue,291.0,301.0,2022-07-19
blue,307.0,317.0,2022-07-20
blue,327.0,337.0,2022-07-21
blue,328.0,338.0,2022-07-22
blue,328.0,338.0,2022-07-23
blue,328.0,338.0,2022-07-24
blue,312.0,322.0,2022-07-25
blue,313.0,323.0,2022-07-26
blue,316.0,326.0,2022-07-27
blue,304.0,314.0,2022-07-28
blue,286.0,296.0,2022-07-29
blue,286.0,296.0,2022-07-30
blue,286.0,296.0,2022-07-31
blue,272.0,282.0,2022-08-01
blue,281.0,291.0,2022-08-02
blue,288.0,298.0,2022-08-03
blue,281.0,291.0,2022-08-04
blue,283.0,293.0,2022-08-05
blue,283.0,293.0,2022-08-06
blue,283.0,293.0,2022-08-07
blue,282.0,292.0,2022-08-08
blue,283.0,293.0,2022-08-09
blue,285.0,295.0,2022-08-10
blue,287.0,297.0,2022-08-11
blue,285.0,295.0,2022-08-12
blue,285.0,295.0,2022-08-13
blue,285.0,295.0,2022-08-14
blue,285.0,295.0,2022-08-15
blue,286.0,291.0,2022-08-16
blue,287.0,292.0,2022-08-17
blue,288.0,293.0,2022-08-18
blue,290.0,295.0,2022-08-19
blue,290.0,295.0,2022-08-20
blue,290.0,295.0,2022-08-21
blue,287.0,292.0,2022-08-22
blue,292.0,297.0,2022-08-23
blue,290.0,295.0,2022-08-24
blue,288.0,293.0,2022-08-25
blue,288.0,292.0,2022-08-26
blue,288.0,292.0,2022-08-27
