casa,compra,venta,fecha
contadoconliqui,202.13,202.13,2022-01-01
contadoconliqui,202.13,202.13,2022-01-02
contadoconliqui,208.08,208.08,2022-01-03
contadoconliqui,205.24,205.24,2022-01-04
contadoconliqui,208.6,208.6,2022-01-05
contadoconliqui,216.2,216.2,2022-01-06
contadoconliqui,214.26,214.26,2022-01-07
contadoconliqui,214.26,214.26,2022-01-08
contadoconliqui,214.26,214.26,2022-01-09
contadoconliqui,213.97,213.97,2022-01-10
contadoconliqui,211.53,211.53,2022-01-11
contadoconliqui,211.22,211.22,2022-01-12
contadoconliqui,207.71,207.71,2022-01-13
contadoconliqui,206.04,206.04,2022-01-14
contadoconliqui,206.04,206.04,2022-01-15
contadoconliqui,206.04,206.04,2022-01-16
contadoconliqui,207.08,207.08,2022-01-17
contadoconliqui,205.94,205.94,2022-01-18
contadoconliqui,216.39,216.39,2022-01-19
contadoconliqui,217.86,217.86,2022-01-20
contadoconliqui,218.82,218.82,2022-01-21
contadoconliqui,218.82,218.82,2022-01-22
contadoconliqui,218.82,218.82,2022-01-23
contadoconliqui,217.68,217.68,2022-01-24
contadoconliqui,221.74,221.74,2022-01-25
contadoconliqui,229.12,229.12,2022-01-26
contadoconliqui,231.17,231.17,2022-01-27
contadoconliqui,240.0,240.0,2022-01-28
contadoconliqui,240.0,240.0,2022-01-29
contadoconliqui,240.0,240.0,2022-01-30
contadoconliqui,244.61,244.61,2022-01-31
contadoconliqui,222.21,222.21,2022-02-01
contadoconliqui,218.94,218.94,2022-02-02
contadoconliqui,220.21,220.21,2022-02-03
contadoconliqui,220.24,220.24,2022-02-04
contadoconliqui,220.24,220.24,2022-02-05
contadoconliqui,220.24,220.24,2022-02-06
contadoconliqui,218.73,218.73,2022-02-07
contadoconliqui,215.87,215.87,2022-02-08
contadoconliqui,212.87,212.87,2022-02-09
contadoconliqui,214.35,214.35,2022-02-10
contadoconliqui,216.21,216.21,2022-02-11
contadoconliqui,216.21,216.21,2022-02-12
contadoconliqui,216.21,216.21,2022-02-13
contadoconliqui,214.43,214.43,2022-02-14
contadoconliqui,212.61,212.61,2022-02-15
contadoconliqui,211.39,211.39,2022-02-16
contadoconliqui,209.92,209.92,2022-02-17
contadoconliqui,206.74,206.74,2022-02-18
contadoconliqui,206.74,206.74,2022-02-19
contadoconliqui,206.74,206.74,2022-02-20
contadoconliqui,207.35,207.35,2022-02-21
contadoconliqui,201.63,201.63,2022-02-22
contadoconliqui,202.99,202.99,2022-02-23
contadoconliqui,203.38,203.38,2022-02-24
contadoconliqui,200.47,200.47,2022-02-25
contadoconliqui,200.47,200.47,2022-02-26
contadoconliqui,200.47,200.47,2022-02-27
contadoconliqui,200.47,200.47,2022-02-28
contadoconliqui,200.47,200.47,2022-03-01
contadoconliqui,202.23,202.23,2022-03-02
contadoconliqui,201.42,201.42,2022-03-03
contadoconliqui,201.14,201.14,2022-03-04
contadoconliqui,201.14,201.14,2022-03-05
contadoconliqui,201.14,201.14,2022-03-06
contadoconliqui,200.1,200.1,2022-03-07
contadoconliqui,198.67,198.67,2022-03-08
contadoconliqui,193.74,193.74,2022-03-09
contadoconliqui,192.25,192.25,2022-03-10
contadoconliqui,190.0,190.0,2022-03-11
contadoconliqui,190.0,190.0,2022-03-12
contadoconliqui,190.0,190.0,2022-03-13
contadoconliqui,188.38,188.38,2022-03-14
contadoconliqui,189.1,189.1,2022-03-15
contadoconliqui,194.59,194.59,2022-03-16
contadoconliqui,195.74,195.74,2022-03-17
