casa,compra,venta,fecha
cripto,365.19,365.19,2023-02-07
cripto,366.59,366.59,2023-02-08
cripto,367.28,367.28,2023-02-09
cripto,369.4,369.4,2023-02-10
cripto,369.4,369.4,2023-02-11
cripto,369.4,369.4,2023-02-12
cripto,369.78,369.78,2023-02-13
cripto,370.79,370.79,2023-02-14
cripto,369.16,369.16,2023-02-15
cripto,367.95,367.95,2023-02-16
cripto,366.5,366.5,2023-02-17
cripto,366.5,366.5,2023-02-18
cripto,366.5,366.5,2023-02-19
cripto,366.5,366.5,2023-02-20
cripto,366.5,366.5,2023-02-21
cripto,367.27,367.27,2023-02-22
cripto,366.97,366.97,2023-02-23
cripto,366.16,366.16,2023-02-24
cripto,366.16,366.16,2023-02-25
cripto,366.16,366.16,2023-02-26
cripto,366.81,366.81,2023-02-27
cripto,366.86,366.86,2023-02-28
cripto,366.26,366.26,2023-03-01
cripto,370.37,370.37,2023-03-02
cripto,371.89,371.89,2023-03-03
cripto,371.89,371.89,2023-03-04
cripto,371.89,371.89,2023-03-05
cripto,366.81,366.81,2023-03-06
cripto,368.7,368.7,2023-03-07
cripto,374.2,374.2,2023-03-08
cripto,380.22,380.22,2023-03-09
cripto,381.3,381.3,2023-03-10
cripto,381.3,381.3,2023-03-11
cripto,381.3,381.3,2023-03-12
cripto,377.38,377.38,2023-03-13
cripto,380.73,380.73,2023-03-14
cripto,384.72,384.72,2023-03-15
cripto,388.89,388.89,2023-03-16
cripto,394.35,394.35,2023-03-17
cripto,394.35,394.35,2023-03-18
cripto,394.35,394.35,2023-03-19
cripto,395.85,395.85,2023-03-20
cripto,397.52,397.52,2023-03-21
cripto,393.94,393.94,2023-03-22
cripto,388.74,388.74,2023-03-23
cripto,388.74,388.74,2023-03-24
cripto,388.74,388.74,2023-03-25
cripto,388.74,388.74,2023-03-26
cripto,388.03,388.03,2023-03-27
cripto,391.37,391.37,2023-03-28
cripto,392.33,392.33,2023-03-29
cripto,394.55,394.55,2023-03-30
cripto,397.81,397.81,2023-03-31
cripto,397.81,397.81,2023-04-01
cripto,397.81,397.81,2023-04-02
cripto,398.14,398.14,2023-04-03
cripto,398.29,398.29,2023-04-04
cripto,399.76,399.76,2023-04-05
cripto,399.76,399.76,2023-04-06
cripto,399.76,399.76,2023-04-07
cripto,399.76,399.76,2023-04-08
cripto,399.76,399.76,2023-04-09
cripto,394.46,394.46,2023-04-10
cripto,393.87,393.87,2023-04-11
cripto,398.05,398.05,2023-04-12
cripto,397.42,397.42,2023-04-13
cripto,399.3,399.3,2023-04-14
cripto,399.3,399.3,2023-04-15
cripto,399.3,399.3,2023-04-16
cripto,408.62,408.62,2023-04-17
cripto,421.36,421.36,2023-04-18
cripto,429.76,429.76,2023-04-19
cripto,434.37,434.37,2023-04-20
cripto,453.08,453.08,2023-04-21
cripto,453.08,453.08,2023-04-22
cripto,453.08,453.08,2023-04-23
cripto,462.02,462.02,2023-04-24
cripto,480.14,480.14,2023-04-25
cripto,462.76,462.76,2023-04-26
cripto,455.13,455.13,2023-04-27
cripto,452.12,452.12,2023-04-28
cripto,452.12,452.12,2023-04-29
cripto,452.12,452.12,2023-04-30
cripto,452.12,452.12,2023-05-01
cripto,454.68,454.68,2023-05-02
cripto,452.42,452.42,2023-05-03
cripto,451.43,451.43,2023-05-04
cripto,447.5,447.5,2023-05-05
cripto,447.5,447.5,2023-05-06
cripto,447.5,447.5,2023-05-07
cripto,454.22,454.22,2023-05-08
cripto,450.76,450.76,2023-05-09
cripto,452.45,452.45,2023-05-10
cripto,454.32,454.32,2023-05-11
cripto,463.4,463.4,2023-05-12
cripto,463.4,463.4,2023-05-13
cripto,463.4,463.4,2023-05-14
cripto,470.04,470.04,2023-05-15
