casa,compra,venta,fecha
mayorista,102.52,102.72,2022-01-01
mayorista,102.52,102.72,2022-01-02
mayorista,102.8,103.0,2022-01-03
mayorista,102.92,103.12,2022-01-04
mayorista,102.94,103.14,2022-01-05
mayorista,103.05,103.25,2022-01-06
mayorista,103.08,103.28,2022-01-07
mayorista,103.08,103.28,2022-01-08
mayorista,103.08,103.28,2022-01-09
mayorista,103.31,103.51,2022-01-10
mayorista,103.36,103.56,2022-01-11
mayorista,103.48,103.68,2022-01-12
mayorista,103.57,103.77,2022-01-13
mayorista,103.64,103.84,2022-01-14
mayorista,103.64,103.84,2022-01-15
mayorista,103.64,103.84,2022-01-16
mayorista,103.9,104.1,2022-01-17
mayorista,103.97,104.17,2022-01-18
mayorista,104.04,104.24,2022-01-19
mayorista,104.11,104.31,2022-01-20
mayorista,104.14,104.34,2022-01-21
mayorista,104.14,104.34,2022-01-22
mayorista,104.14,104.34,2022-01-23
mayorista,104.33,104.53,2022-01-24
mayorista,104.42,104.62,2022-01-25
mayorista,104.5,104.7,2022-01-26
mayorista,104.57,104.77,2022-01-27
mayorista,104.64,104.84,2022-01-28
mayorista,104.64,104.84,2022-01-29
mayorista,104.64,104.84,2022-01-30
mayorista,104.82,105.02,2022-01-31
mayorista,104.92,105.12,2022-02-01
mayorista,105.0,105.2,2022-02-02
mayorista,105.11,105.31,2022-02-03
mayorista,105.21,105.41,2022-02-04
mayorista,105.21,105.41,2022-02-05
mayorista,105.21,105.41,2022-02-06
mayorista,105.48,105.68,2022-02-07
mayorista,105.62,105.82,2022-02-08
mayorista,105.69,105.89,2022-02-09
mayorista,105.81,106.01,2022-02-10
mayorista,105.95,106.15,2022-02-11
mayorista,105.95,106.15,2022-02-12
mayorista,105.95,106.15,2022-02-13
mayorista,106.16,106.36,2022-02-14
mayorista,106.27,106.47,2022-02-15
mayorista,106.38,106.58,2022-02-16
mayorista,106.47,106.67,2022-02-17
mayorista,106.58,106.78,2022-02-18
mayorista,106.58,106.78,2022-02-19
mayorista,106.58,106.78,2022-02-20
mayorista,106.84,107.04,2022-02-21
mayorista,106.99,107.19,2022-02-22
mayorista,106.99,107.19,2022-02-23
mayorista,107.18,107.38,2022-02-24
mayorista,107.25,107.45,2022-02-25
mayorista,107.25,107.45,2022-02-26
mayorista,107.25,107.45,2022-02-27
mayorista,107.25,107.45,2022-02-28
mayorista,107.25,107.45,2022-03-01
mayorista,107.73,107.93,2022-03-02
mayorista,107.83,108.03,2022-03-03
mayorista,107.98,108.18,2022-03-04
mayorista,107.98,108.18,2022-03-05
mayorista,107.98,108.18,2022-03-06
mayorista,108.24,108.44,2022-03-07
mayorista,108.36,108.56,2022-03-08
mayorista,108.48,108.68,2022-03-09
mayorista,108.57,108.77,2022-03-10
mayorista,108.68,108.88,2022-03-11
mayorista,108.68,108.88,2022-03-12
mayorista,108.68,108.88,2022-03-13
mayorista,109.0,109.2,2022-03-14
mayorista,109.12,109.32,2022-03-15
mayorista,109.21,109.41,2022-03-16
mayorista,109.35,109.55,2022-03-17
mayorista,109.5,109.7,2022-03-18
mayorista,109.5,109.7,2022-03-19
mayorista,109.5,109.7,2022-03-20
mayorista,109.77,109.97,2022-03-21
mayorista,109.87,110.07,2022-03-22
mayorista,109.98,110.18,2022-03-23
mayorista,109.98,110.18,2022-03-24
mayorista,110.18,110.38,2022-03-25
mayorista,110.18,110.38,2022-03-26
mayorista,110.18,110.38,2022-03-27
mayorista,110.48,110.68,2022-03-28
mayorista,110.62,110.82,2022-03-29
mayorista,110.69,110.89,2022-03-30
mayorista,110.81,111.01,2022-03-31
mayorista,110.92,111.12,2022-04-01
mayorista,110.92,111.12,2022-04-02
mayorista,110.92,111.12,2022-04-03
mayorista,110.37,111.57,2022-04-04
mayorista,110.37,111.57,2022-04-05
mayorista,110.63,111.83,2022-04-06
mayorista,111.77,111.97,2022-04-07
mayorista,111.96,112.16,2022-04-08
mayorista,111.96,112.16,2022-04-09
mayorista,111.96,112.16,2022-04-10
mayorista,112.38,112.58,2022-04-11
mayorista,112.56,112.76,2022-04-12
mayorista,112.77,112.97,2022-04-13
mayorista,112.77,112.97,2022-04-14
mayorista,112.77,112.97,2022-04-15
mayorista,112.77,112.97,2022-04-16
mayorista,112.77,112.97,2022-04-17
mayorista,113.43,113.63,2022-04-18
mayorista,113.58,113.78,2022-04-19
mayorista,113.75,113.95,2022-04-20
mayorista,113.91,114.11,2022-04-21
mayorista,114.03,114.23,2022-04-22
mayorista,114.03,114.23,2022-04-23
mayorista,114.03,114.23,2022-04-24
mayorista,114.48,114.68,2022-04-25
mayorista,114.65,114.85,2022-04-26
mayorista,114.84,115.04,2022-04-27
mayorista,114.98,115.18,2022-04-28
mayorista,115.15,115.35,2022-04-29
mayorista,115.15,115.35,2022-04-30
mayorista,115.15,115.35,2022-05-01
mayorista,115.53,115.73,2022-05-02
mayorista,115.9,115.9,2022-05-03
mayorista,115.82,116.02,2022-05-04
mayorista,115.96,116.16,2022-05-05
mayorista,116.1,116.3,2022-05-06
mayorista,116.1,116.3,2022-05-07
mayorista,116.1,116.3,2022-05-08
mayorista,116.55,116.75,2022-05-09
mayorista,116.73,116.93,2022-05-10
mayorista,116.88,117.08,2022-05-11
mayorista,117.05,117.25,2022-05-12
mayorista,117.23,117.43,2022-05-13
mayorista,117.23,117.43,2022-05-14
mayorista,117.23,117.43,2022-05-15
mayorista,117.86,117.86,2022-05-16
mayorista,117.87,118.07,2022-05-17
mayorista,117.87,118.07,2022-05-18
mayorista,118.14,118.34,2022-05-19
mayorista,118.28,118.48,2022-05-20
mayorista,118.28,118.48,2022-05-21
mayorista,118.28,118.48,2022-05-22
mayorista,118.74,118.94,2022-05-23
mayorista,118.91,119.11,2022-05-24
mayorista,118.91,119.11,2022-05-25
mayorista,119.21,119.41,2022-05-26
mayorista,119.35,119.55,2022-05-27
mayorista,119.35,119.55,2022-05-28
mayorista,119.35,119.55,2022-05-29
mayorista,119.83,120.03,2022-05-30
mayorista,119.97,120.17,2022-05-31
mayorista,120.12,120.32,2022-06-01
mayorista,120.26,120.46,2022-06-02
mayorista,120.48,120.68,2022-06-03
mayorista,120.48,120.68,2022-06-04
mayorista,120.48,120.68,2022-06-05
mayorista,120.48,120.68,2022-06-06
mayorista,121.09,121.29,2022-06-07
mayorista,121.25,121.45,2022-06-08
mayorista,121.42,121.62,2022-06-09
mayorista,121.59,121.79,2022-06-10
mayorista,121.59,121.79,2022-06-11
mayorista,121.59,121.79,2022-06-12
mayorista,122.1,122.3,2022-06-13
mayorista,122.3,122.5,2022-06-14
mayorista,122.5,122.7,2022-06-15
mayorista,122.72,122.92,2022-06-16
mayorista,122.72,122.92,2022-06-17
mayorista,122.72,122.92,2022-06-18
mayorista,122.72,122.92,2022-06-19
mayorista,122.72,122.92,2022-06-20
mayorista,123.47,123.67,2022-06-21
mayorista,123.65,123.85,2022-06-22
mayorista,123.9,124.1,2022-06-23
mayorista,124.04,124.24,2022-06-24
mayorista,124.04,124.24,2022-06-25
mayorista,124.04,124.24,2022-06-26
mayorista,124.51,124.71,2022-06-27
mayorista,124.67,124.87,2022-06-28
mayorista,124.84,125.04,2022-06-29
mayorista,125.03,125.23,2022-06-30
mayorista,125.25,125.45,2022-07-01
mayorista,125.25,125.45,2022-07-02
mayorista,125.25,125.45,2022-07-03
mayorista,125.75,125.95,2022-07-04
mayorista,126.0,126.2,2022-07-05
mayorista,126.19,126.39,2022-07-06
mayorista,126.36,126.56,2022-07-07
mayorista,126.6,126.8,2022-07-08
mayorista,126.6,126.8,2022-07-09
mayorista,126.6,126.8,2022-07-10
mayorista,127.15,127.35,2022-07-11
mayorista,127.39,127.59,2022-07-12
mayorista,127.62,127.82,2022-07-13
mayorista,127.8,128.0,2022-07-14
mayorista,128.05,128.25,2022-07-15
mayorista,128.05,128.25,2022-07-16
mayorista,128.05,128.25,2022-07-17
mayorista,128.71,128.91,2022-07-18
mayorista,128.94,129.14,2022-07-19
mayorista,129.18,129.38,2022-07-20
mayorista,129.38,129.58,2022-07-21
mayorista,129.54,129.74,2022-07-22
mayorista,129.54,129.74,2022-07-23
mayorista,129.54,129.74,2022-07-24
mayorista,130.2,130.4,2022-07-25
mayorista,130.48,130.68,2022-07-26
mayorista,130.71,130.91,2022-07-27
mayorista,130.92,131.12,2022-07-28
mayorista,131.07,131.27,2022-07-29
mayorista,131.07,131.27,2022-07-30
mayorista,131.07,131.27,2022-07-31
mayorista,131.69,131.89,2022-08-01
mayorista,132.0,132.2,2022-08-02
mayorista,132.22,132.42,2022-08-03
