casa,compra,venta,fecha
solidario,102.29,178.68,2022-01-01
solidario,102.29,178.68,2022-01-02
solidario,102.48,178.99,2022-01-03
solidario,102.61,179.21,2022-01-04
solidario,102.63,179.24,2022-01-05
solidario,102.72,179.39,2022-01-06
solidario,102.86,179.62,2022-01-07
solidario,102.86,179.62,2022-01-08
solidario,102.86,179.62,2022-01-09
solidario,102.96,179.78,2022-01-10
solidario,102.97,179.8,2022-01-11
solidario,103.05,179.93,2022-01-12
solidario,103.11,180.03,2022-01-13
solidario,103.21,180.2,2022-01-14
solidario,103.21,180.2,2022-01-15
solidario,103.21,180.2,2022-01-16
solidario,103.46,180.61,2022-01-17
solidario,103.64,180.91,2022-01-18
solidario,103.64,180.91,2022-01-19
solidario,103.71,181.02,2022-01-20
solidario,103.79,181.15,2022-01-21
solidario,103.79,181.15,2022-01-22
solidario,103.79,181.15,2022-01-23
solidario,104.08,181.63,2022-01-24
solidario,104.08,181.63,2022-01-25
solidario,104.15,181.75,2022-01-26
solidario,104.5,182.32,2022-01-27
solidario,104.68,182.62,2022-01-28
solidario,104.68,182.62,2022-01-29
solidario,104.68,182.62,2022-01-30
solidario,104.71,182.67,2022-01-31
solidario,104.91,183.0,2022-02-01
solidario,104.75,182.74,2022-02-02
solidario,104.92,183.02,2022-02-03
solidario,105.37,183.76,2022-02-04
solidario,105.37,183.76,2022-02-05
solidario,105.37,183.76,2022-02-06
solidario,105.46,183.91,2022-02-07
solidario,105.49,183.96,2022-02-08
solidario,105.52,184.01,2022-02-09
solidario,105.61,184.16,2022-02-10
solidario,105.67,184.26,2022-02-11
solidario,105.67,184.26,2022-02-12
solidario,105.67,184.26,2022-02-13
solidario,106.01,184.82,2022-02-14
solidario,106.17,185.08,2022-02-15
solidario,106.21,185.15,2022-02-16
solidario,106.24,185.2,2022-02-17
solidario,106.48,185.59,2022-02-18
solidario,106.48,185.59,2022-02-19
solidario,106.48,185.59,2022-02-20
solidario,106.71,185.97,2022-02-21
solidario,106.8,186.12,2022-02-22
solidario,106.83,186.17,2022-02-23
solidario,106.89,186.27,2022-02-24
solidario,106.95,186.37,2022-02-25
solidario,106.95,186.37,2022-02-26
solidario,106.95,186.37,2022-02-27
solidario,106.95,186.37,2022-02-28
solidario,106.95,186.37,2022-03-01
solidario,107.33,186.99,2022-03-02
solidario,107.48,187.24,2022-03-03
solidario,107.69,187.59,2022-03-04
solidario,107.69,187.59,2022-03-05
solidario,107.69,187.59,2022-03-06
solidario,107.94,188.0,2022-03-07
solidario,108.06,188.2,2022-03-08
solidario,108.37,188.71,2022-03-09
solidario,108.38,188.73,2022-03-10
solidario,108.49,188.91,2022-03-11
solidario,108.49,188.91,2022-03-12
solidario,108.49,188.91,2022-03-13
solidario,108.72,189.29,2022-03-14
solidario,108.82,189.45,2022-03-15
solidario,108.88,189.55,2022-03-16
solidario,108.91,189.6,2022-03-17
solidario,108.93,189.63,2022-03-18
solidario,108.93,189.63,2022-03-19
solidario,108.93,189.63,2022-03-20
solidario,109.35,190.33,2022-03-21
solidario,109.42,190.44,2022-03-22
solidario,109.61,190.76,2022-03-23
solidario,109.61,190.76,2022-03-24
solidario,109.69,190.89,2022-03-25
solidario,109.69,190.89,2022-03-26
solidario,109.69,190.89,2022-03-27
solidario,110.19,191.71,2022-03-28
solidario,110.21,191.75,2022-03-29
solidario,110.31,191.91,2022-03-30
solidario,110.45,192.14,2022-03-31
solidario,110.64,192.46,2022-04-01
solidario,110.64,192.46,2022-04-02
solidario,110.64,192.46,2022-04-03
solidario,111.02,193.08,2022-04-04
solidario,111.1,193.21,2022-04-05
solidario,111.33,193.59,2022-04-06
solidario,111.65,194.12,2022-04-07
solidario,111.69,194.19,2022-04-08
solidario,111.69,194.19,2022-04-09
solidario,111.69,194.19,2022-04-10
solidario,112.02,194.73,2022-04-11
solidario,112.1,194.86,2022-04-12
solidario,112.39,195.34,2022-04-13
solidario,112.39,195.34,2022-04-14
solidario,112.39,195.34,2022-04-15
solidario,112.39,195.34,2022-04-16
solidario,112.39,195.34,2022-04-17
solidario,112.88,196.15,2022-04-18
solidario,113.03,196.4,2022-04-19
solidario,113.16,196.61,2022-04-20
solidario,113.58,197.31,2022-04-21
solidario,113.69,197.49,2022-04-22
solidario,113.69,197.49,2022-04-23
solidario,113.69,197.49,2022-04-24
solidario,113.78,197.64,2022-04-25
solidario,114.1,198.16,2022-04-26
solidario,114.13,198.21,2022-04-27
solidario,114.29,198.48,2022-04-28
solidario,114.64,199.06,2022-04-29
solidario,114.64,199.06,2022-04-30
solidario,114.64,199.06,2022-05-01
solidario,114.97,199.6,2022-05-02
solidario,115.33,200.19,2022-05-03
solidario,115.45,200.39,2022-05-04
solidario,115.73,200.85,2022-05-05
solidario,115.97,201.25,2022-05-06
solidario,115.97,201.25,2022-05-07
solidario,115.97,201.25,2022-05-08
solidario,116.16,201.56,2022-05-09
solidario,116.32,201.83,2022-05-10
solidario,116.5,202.13,2022-05-11
solidario,116.7,202.45,2022-05-12
solidario,117.11,203.13,2022-05-13
solidario,117.11,203.13,2022-05-14
solidario,117.11,203.13,2022-05-15
solidario,117.27,203.4,2022-05-16
solidario,117.55,203.86,2022-05-17
solidario,117.55,203.86,2022-05-18
solidario,117.77,204.22,2022-05-19
solidario,117.91,204.45,2022-05-20
solidario,117.91,204.45,2022-05-21
solidario,117.91,204.45,2022-05-22
solidario,118.33,205.14,2022-05-23
solidario,118.45,205.34,2022-05-24
solidario,118.45,205.34,2022-05-25
solidario,118.62,205.62,2022-05-26
solidario,118.81,205.94,2022-05-27
solidario,118.81,205.94,2022-05-28
solidario,118.81,205.94,2022-05-29
solidario,118.81,205.94,2022-05-30
solidario,119.62,207.27,2022-05-31
solidario,119.88,207.7,2022-06-01
solidario,119.95,207.82,2022-06-02
solidario,120.41,208.58,2022-06-03
solidario,120.41,208.58,2022-06-04
solidario,120.41,208.58,2022-06-05
solidario,120.6,208.89,2022-06-06
solidario,120.65,208.97,2022-06-07
solidario,120.77,209.17,2022-06-08
solidario,121.0,209.55,2022-06-09
solidario,121.0,209.55,2022-06-10
solidario,121.0,209.55,2022-06-11
solidario,121.0,209.55,2022-06-12
solidario,121.6,210.54,2022-06-13
solidario,121.62,210.57,2022-06-14
solidario,122.03,211.25,2022-06-15
solidario,122.19,211.51,2022-06-16
solidario,122.19,211.51,2022-06-17
solidario,122.19,211.51,2022-06-18
solidario,122.19,211.51,2022-06-19
solidario,122.19,211.51,2022-06-20
solidario,122.99,212.83,2022-06-21
solidario,123.01,212.87,2022-06-22
solidario,123.11,213.03,2022-06-23
solidario,123.15,213.1,2022-06-24
solidario,123.15,213.1,2022-06-25
solidario,123.15,213.1,2022-06-26
solidario,124.07,214.62,2022-06-27
solidario,124.14,214.73,2022-06-28
solidario,123.99,214.48,2022-06-29
solidario,124.44,215.23,2022-06-30
solidario,124.69,215.64,2022-07-01
solidario,124.69,215.64,2022-07-02
solidario,124.69,215.64,2022-07-03
solidario,126.07,217.92,2022-07-04
solidario,126.54,218.69,2022-07-05
solidario,126.85,219.2,2022-07-06
solidario,127.27,219.9,2022-07-07
solidario,127.89,220.92,2022-07-08
solidario,127.89,220.92,2022-07-09
solidario,127.89,220.92,2022-07-10
solidario,128.67,222.21,2022-07-11
solidario,128.67,222.21,2022-07-12
solidario,129.15,223.0,2022-07-13
solidario,129.15,223.0,2022-07-14
solidario,129.29,223.23,2022-07-15
solidario,129.29,223.23,2022-07-16
solidario,129.29,223.23,2022-07-17
solidario,129.79,224.05,2022-07-18
