period,general,var_general,materials,var_materials,labour_force,var_labour
2022-01-01,1281.50,3.82,1487.10,3.86,980.20,3.74
2022-02-01,1344.50,4.92,1545.80,3.95,1049.40,7.06
2022-03-01,1416.20,5.33,1624.60,5.10,1110.70,5.84
2022-04-01,1467.20,3.60,1709.90,5.25,1111.50,0.07
2022-05-01,1563.90,6.59,1801.70,5.37,1215.20,9.33
2022-06-01,1670.20,6.80,1907.40,5.87,1322.60,8.84
2022-07-01,1784.00,6.81,2098.70,10.03,1322.60,0.00
2022-08-01,1905.90,6.83,2245.60,7.00,1407.90,6.45
2022-09-01,2051.90,7.66,2399.40,6.85,1541.90,9.52
2022-10-01,2211.90,7.80,2573.00,7.24,1682.60,9.13
2022-11-01,2369.70,7.13,2747.70,6.79,1815.70,7.91
2022-12-01,2552.30,7.71,2933.60,6.77,1993.40,9.79
2023-01-01,2713.10,6.30,3118.80,6.31,2125.60,6.63
2023-02-01,2865.30,5.61,3276.50,5.06,2262.70,6.45
2023-03-01,2998.70,4.66,3482.10,6.27,2290.20,1.22
2023-04-01,3228.50,7.66,3740.90,7.43,2477.50,8.18
2023-05-01,3448.30,6.81,3985.60,6.54,2660.90,7.40
2023-06-01,3662.20,6.20,4282.60,7.45,2752.80,3.45
2023-07-01,4001.90,9.28,4678.30,9.24,3010.50,9.36
2023-08-01,4789.70,19.69,5707.80,22.01,3444.10,14.40
2023-09-01,5215.90,8.90,6219.50,8.96,3744.90,8.73
2023-10-01,5790.00,11.01,6979.60,12.22,4046.50,8.05
2023-11-01,6785.20,17.19,8345.60,19.57,4498.00,11.16
2023-12-01,9049.80,33.38,11806.70,41.47,5009.00,11.36
2024-01-01,10331.00,14.16,13277.80,12.46,6011.70,20.02
2024-02-01,11228.30,8.69,14214.40,7.05,6851.60,13.97
2024-03-01,11669.00,3.92,14955.80,5.22,6851.60,0.00
2024-04-01,12216.20,4.69,15226.80,1.81,7803.50,13.89
2024-05-01,12747.40,4.35,15537.50,2.04,8657.90,10.95
2024-06-01,13295.80,4.30,15811.70,1.76,9608.30,10.98
2024-07-01,13574.80,2.10,16281.00,2.97,9608.30,0.00
2024-08-01,14017.60,3.26,16700.70,2.58,10084.90,4.96
2024-09-01,14366.90,2.49,17016.60,1.89,10483.30,3.95
2024-10-01,14614.90,1.73,17149.90,0.78,10899.20,3.97
2024-11-01,15043.00,2.93,17375.70,1.32,11624.10,6.65
2024-12-01,15356.40,2.08,17585.10,1.21,12089.70,4.01
2025-01-01,15592.50,1.54,17825.20,1.37,12319.90,1.90
2025-02-01,15852.40,1.67,17967.50,0.80,12752.30,3.51
2025-03-01,15995.40,0.90,18122.50,0.86,12877.80,0.98
2025-04-01,16253.50,1.61,18640.10,2.86,12755.30,-0.95
2025-05-01,16521.30,1.65,18695.20,0.30,13334.90,4.54
2025-06-01,16643.40,0.74,18826.50,0.70,13443.50,0.81
2025-07-01,16939.50,1.78,19141.70,1.67,13711.80,2.00
2025-08-01,17187.60,1.46,19490.20,1.82,13812.60,0.74
2025-09-01,17762.30,3.34,20187.50,3.58,14207.50,2.86
2025-10-01,18172.80,2.31,20740.80,2.74,14408.80,1.42
2025-11-01,18534.90,1.99,21055.90,1.52,14839.90,2.99
2025-12-01,18776.50,1.30,21335.30,1.33,15026.20,1.26
2026-01-01,19209.40,2.31,21778.00,2.07,15444.40,2.78
2026-02-01,19453.00,1.27,22007.90,1.06,15708.20,1.71
2026-03-01,19771.20,1.64,22204.20,0.89,16205.20,3.16
