nombre_modelo,regresores_features,horizonte_meses,MAE,MAPE,folds,observaciones,mejora_vs_baseline
prophet_ipim_cac_var_materials,ipim_nivel_general + var_materials,3,5.97,4.33,9,std_mape_folds=2.52; std_mae_folds=3.06,+0.60 pp
prophet_ipim_cac_var_general,ipim_nivel_general + var_general,3,6.42,4.62,9,std_mape_folds=2.78; std_mae_folds=3.43,+0.31 pp
prophet_ipim_nivel_general,ipim_nivel_general,3,6.66,4.93,9,std_mape_folds=4.58; std_mae_folds=5.40; baseline_obligatorio; referencia_documentada_3m≈4.98,0.00 pp
prophet_ipim_cac_var_labour,ipim_nivel_general + var_labour,3,7.48,5.53,9,std_mape_folds=4.66; std_mae_folds=5.52,-0.60 pp
prophet_ipim_cac_var_materials,ipim_nivel_general + var_materials,6,8.24,5.99,4,std_mape_folds=3.04; std_mae_folds=3.82,+1.52 pp
prophet_ipim_cac_var_general,ipim_nivel_general + var_general,6,9.47,6.85,4,std_mape_folds=3.67; std_mae_folds=4.65,+0.66 pp
prophet_ipim_nivel_general,ipim_nivel_general,6,10.14,7.51,4,std_mape_folds=7.27; std_mae_folds=9.23; baseline_obligatorio,0.00 pp
prophet_ipim_cac_var_labour,ipim_nivel_general + var_labour,6,11.59,8.56,4,std_mape_folds=7.05; std_mae_folds=8.93,-1.05 pp
prophet_ipim_cac_var_materials,ipim_nivel_general + var_materials,12,6.61,4.69,2,std_mape_folds=0.27; std_mae_folds=0.27,+5.69 pp
prophet_ipim_cac_var_general,ipim_nivel_general + var_general,12,8.39,5.94,2,std_mape_folds=1.15; std_mae_folds=0.94,+4.44 pp
prophet_ipim_nivel_general,ipim_nivel_general,12,14.14,10.38,2,std_mape_folds=7.45; std_mae_folds=9.64; baseline_obligatorio,0.00 pp
prophet_ipim_cac_var_labour,ipim_nivel_general + var_labour,12,14.50,10.60,2,std_mape_folds=7.18; std_mae_folds=9.21,-0.23 pp
