period,var_general,var_materials,var_labour
2022-01-01,0.00,0.00,0.00
2022-02-01,3.81,3.46,4.21
2022-03-01,4.96,4.01,5.93
2022-04-01,2.31,4.51,0.04
2022-05-01,6.64,4.42,9.14
2022-06-01,6.59,5.22,8.04
2022-07-01,6.92,12.30,1.99
2022-08-01,7.47,8.91,6.35
2022-09-01,7.44,5.92,9.24
2022-10-01,7.29,5.92,8.79
2022-11-01,6.73,5.57,8.05
2022-12-01,4.31,4.92,3.57
2023-01-01,6.68,5.63,7.72
2023-02-01,6.03,5.15,7.07
2023-03-01,4.70,5.55,4.01
2023-04-01,8.08,7.08,8.51
2023-05-01,7.78,7.79,7.91
2023-06-01,5.83,7.13,3.65
2023-07-01,8.38,7.17,9.76
2023-08-01,14.79,22.22,8.36
2023-09-01,14.66,9.61,20.60
2023-10-01,7.14,14.13,0.06
2023-11-01,11.53,12.83,10.29
2023-12-01,30.65,48.30,11.43
2024-01-01,15.63,13.24,19.47
2024-02-01,6.45,6.31,2.11
2024-03-01,8.13,5.04,13.74
2024-04-01,4.77,2.92,6.60
2024-05-01,10.82,1.48,24.48
2024-06-01,3.17,1.24,5.05
2024-07-01,1.84,2.55,1.03
2024-08-01,1.66,2.10,0.85
2024-09-01,4.71,1.75,7.75
2024-10-01,1.17,1.37,0.76
2024-11-01,0.97,1.18,0.30
2024-12-01,8.65,0.88,18.04
2025-01-01,0.88,1.22,0.12
2025-02-01,2.19,1.90,2.50
2025-03-01,0.56,0.64,0.42
2025-04-01,0.50,2.92,-2.13
2025-05-01,3.47,0.54,6.63
2025-06-01,1.00,1.00,0.86
2025-07-01,1.86,1.46,2.24
2025-08-01,1.75,1.90,1.66
2025-09-01,3.02,2.86,3.18
2025-10-01,1.67,2.05,1.29
2025-11-01,2.74,1.44,4.15
2025-12-01,1.48,1.58,1.40
2026-01-01,2.33,1.43,3.18
2026-02-01,1.88,1.48,1.67
2026-03-01,2.55,1.78,3.41
