nombre_modelo,regresores_features,horizonte_meses,MAE,MAPE,folds,observaciones,mejora_vs_baseline
prophet_ipim_nivel_general_lags,ipim_nivel_general + lag_1m + lag_3m + lag_6m,3,72.10,3.37,9,std_mape_folds=2.58; std_mae_folds=50.10,+3.10 pp
ensemble_simple_top2,"promedio(prophet_ipim_nivel_general_lags, prophet_ipim_nivel_general_medias_moviles)",3,77.41,3.66,9,std_mape_folds=2.52; std_mae_folds=46.29; ensemble_simple_top2=prophet_ipim_nivel_general_lags+prophet_ipim_nivel_general_medias_moviles,+2.81 pp
prophet_ipim_nivel_general_medias_moviles,ipim_nivel_general + ma_3m + ma_6m,3,83.80,4.01,9,std_mape_folds=2.50; std_mae_folds=43.05,+2.46 pp
prophet_ipim_cac_labour_force,ipim_nivel_general + labour_force,3,97.97,4.27,9,std_mape_folds=2.27; std_mae_folds=59.85,+2.19 pp
prophet_ipim_icc_var_general,ipim_nivel_general + icc_var_general,3,120.49,5.41,9,std_mape_folds=2.19; std_mae_folds=55.60,+1.06 pp
prophet_ipim_cac_general,ipim_nivel_general + general,3,111.77,5.46,9,std_mape_folds=3.29; std_mae_folds=61.48,+1.01 pp
prophet_ipim_cac_var_general,ipim_nivel_general + var_general,3,123.10,5.61,9,std_mape_folds=2.15; std_mae_folds=53.24,+0.85 pp
prophet_cac_general,general,3,120.05,5.88,9,std_mape_folds=3.26; std_mae_folds=52.86,+0.58 pp
prophet_ipim_icc_var_materials,ipim_nivel_general + icc_var_materials,3,129.07,5.94,9,std_mape_folds=2.23; std_mae_folds=52.80,+0.52 pp
prophet_ipim_cac_var_materials,ipim_nivel_general + var_materials,3,129.37,6.01,9,std_mape_folds=2.26; std_mae_folds=50.47,+0.46 pp
prophet_ipim_cac_var_labour,ipim_nivel_general + var_labour,3,133.99,6.15,9,std_mape_folds=2.25; std_mae_folds=50.37,+0.31 pp
prophet_ipim_icc_var_labour,ipim_nivel_general + icc_var_labour,3,137.11,6.31,9,std_mape_folds=2.53; std_mae_folds=56.32,+0.16 pp
prophet_ipim_nivel_general,ipim_nivel_general,3,140.16,6.47,9,std_mape_folds=2.68; std_mae_folds=59.23; baseline_obligatorio,0.00 pp
prophet_ipim_cac_materials,ipim_nivel_general + materials,3,149.88,6.82,9,std_mape_folds=2.70; std_mae_folds=65.43,-0.35 pp
prophet_ipim_nivel_general_variaciones,ipim_nivel_general + var_1m_pct + var_3m_pct + var_6m_pct,3,158.24,7.56,9,std_mape_folds=3.78; std_mae_folds=67.60,-1.10 pp
prophet_cac_labour_force,labour_force,3,175.61,7.87,9,std_mape_folds=2.04; std_mae_folds=57.06,-1.41 pp
prophet_cac_materials,materials,3,165.44,8.11,9,std_mape_folds=5.02; std_mae_folds=96.38,-1.65 pp
