frecuencia,horizonte,yearly_seasonality,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,folds,mae,mape
mensual,3,False,0.01,1.0,additive,9,18.3306,13.8966
mensual,3,False,0.01,1.0,multiplicative,9,18.3306,13.8966
mensual,3,False,0.01,10.0,additive,9,18.3306,13.8966
mensual,3,False,0.01,10.0,multiplicative,9,18.3306,13.8966
mensual,3,False,0.05,1.0,additive,9,18.4494,13.9669
mensual,3,False,0.05,1.0,multiplicative,9,18.4494,13.9669
mensual,3,False,0.05,10.0,additive,9,18.4494,13.9669
mensual,3,False,0.05,10.0,multiplicative,9,18.4494,13.9669
mensual,3,True,0.05,1.0,additive,9,21.4946,15.7637
mensual,6,False,0.01,1.0,additive,4,24.1631,18.3034
mensual,6,False,0.01,1.0,multiplicative,4,24.1631,18.3034
mensual,6,False,0.01,10.0,additive,4,24.1631,18.3034
mensual,6,False,0.01,10.0,multiplicative,4,24.1631,18.3034
mensual,6,False,0.05,1.0,additive,4,24.3537,18.4291
mensual,6,False,0.05,1.0,multiplicative,4,24.3537,18.4291
mensual,6,False,0.05,10.0,additive,4,24.3537,18.4291
mensual,6,False,0.05,10.0,multiplicative,4,24.3537,18.4291
mensual,12,True,0.05,1.0,additive,2,26.4181,19.3138
mensual,6,True,0.05,1.0,additive,4,26.5950,19.7420
mensual,3,True,0.01,1.0,additive,9,29.2764,21.9453
mensual,3,True,0.05,1.0,multiplicative,9,31.7929,22.9851
mensual,3,True,0.05,10.0,additive,9,32.7789,23.9617
mensual,6,True,0.01,1.0,additive,4,33.4717,25.3346
mensual,3,True,0.01,10.0,additive,9,33.7246,25.3740
mensual,6,True,0.05,10.0,multiplicative,4,35.9369,26.3112
mensual,6,True,0.05,10.0,additive,4,36.2880,26.5364
mensual,6,True,0.01,10.0,additive,4,37.9356,28.8000
mensual,3,True,0.01,1.0,multiplicative,9,38.0286,28.2401
mensual,12,True,0.05,10.0,multiplicative,2,38.3588,28.0618
mensual,12,False,0.05,1.0,additive,2,38.5721,28.5416
mensual,12,False,0.05,1.0,multiplicative,2,38.5721,28.5416
mensual,12,False,0.05,10.0,additive,2,38.5721,28.5416
mensual,12,False,0.05,10.0,multiplicative,2,38.5721,28.5416
mensual,12,False,0.01,1.0,additive,2,38.6112,28.5648
mensual,12,False,0.01,1.0,multiplicative,2,38.6112,28.5648
mensual,12,False,0.01,10.0,additive,2,38.6112,28.5648
mensual,12,False,0.01,10.0,multiplicative,2,38.6112,28.5648
mensual,6,True,0.01,1.0,multiplicative,4,40.6419,30.4004
mensual,12,True,0.05,10.0,additive,2,41.8305,28.8945
mensual,12,True,0.01,1.0,additive,2,43.4478,32.2679
mensual,12,True,0.01,1.0,multiplicative,2,44.4501,33.0634
mensual,12,True,0.01,10.0,additive,2,44.7124,33.3640
mensual,6,True,0.05,1.0,multiplicative,4,50.8745,36.4312
mensual,12,True,0.01,10.0,multiplicative,2,55.2184,41.3489
mensual,6,True,0.01,10.0,multiplicative,4,56.9144,43.0307
mensual,12,True,0.05,1.0,multiplicative,2,58.1128,40.1534
mensual,3,True,0.05,10.0,multiplicative,9,61.9002,44.2444
mensual,3,True,0.01,10.0,multiplicative,9,80.5396,59.3514
diaria,3,False,0.01,1.0,additive,6,nan,nan
diaria,3,False,0.01,1.0,multiplicative,6,nan,nan
diaria,3,False,0.01,10.0,additive,6,nan,nan
diaria,3,False,0.01,10.0,multiplicative,6,nan,nan
diaria,3,False,0.05,1.0,additive,6,nan,nan
diaria,3,False,0.05,1.0,multiplicative,6,nan,nan
diaria,3,False,0.05,10.0,additive,6,nan,nan
diaria,3,False,0.05,10.0,multiplicative,6,nan,nan
diaria,3,True,0.01,1.0,additive,6,nan,nan
diaria,3,True,0.01,1.0,multiplicative,6,nan,nan
diaria,3,True,0.01,10.0,additive,6,nan,nan
diaria,3,True,0.01,10.0,multiplicative,6,nan,nan
diaria,3,True,0.05,1.0,additive,6,nan,nan
diaria,3,True,0.05,1.0,multiplicative,6,nan,nan
diaria,3,True,0.05,10.0,additive,6,nan,nan
diaria,3,True,0.05,10.0,multiplicative,6,nan,nan
diaria,6,False,0.01,1.0,additive,3,nan,nan
diaria,6,False,0.01,1.0,multiplicative,3,nan,nan
diaria,6,False,0.01,10.0,additive,3,nan,nan
diaria,6,False,0.01,10.0,multiplicative,3,nan,nan
diaria,6,False,0.05,1.0,additive,3,nan,nan
diaria,6,False,0.05,1.0,multiplicative,3,nan,nan
diaria,6,False,0.05,10.0,additive,3,nan,nan
diaria,6,False,0.05,10.0,multiplicative,3,nan,nan
diaria,6,True,0.01,1.0,additive,3,nan,nan
diaria,6,True,0.01,1.0,multiplicative,3,nan,nan
diaria,6,True,0.01,10.0,additive,3,nan,nan
diaria,6,True,0.01,10.0,multiplicative,3,nan,nan
diaria,6,True,0.05,1.0,additive,3,nan,nan
diaria,6,True,0.05,1.0,multiplicative,3,nan,nan
diaria,6,True,0.05,10.0,additive,3,nan,nan
diaria,6,True,0.05,10.0,multiplicative,3,nan,nan
diaria,12,False,0.01,1.0,additive,1,nan,nan
diaria,12,False,0.01,1.0,multiplicative,1,nan,nan
diaria,12,False,0.01,10.0,additive,1,nan,nan
diaria,12,False,0.01,10.0,multiplicative,1,nan,nan
diaria,12,False,0.05,1.0,additive,1,nan,nan
diaria,12,False,0.05,1.0,multiplicative,1,nan,nan
diaria,12,False,0.05,10.0,additive,1,nan,nan
diaria,12,False,0.05,10.0,multiplicative,1,nan,nan
diaria,12,True,0.01,1.0,additive,1,nan,nan
diaria,12,True,0.01,1.0,multiplicative,1,nan,nan
diaria,12,True,0.01,10.0,additive,1,nan,nan
diaria,12,True,0.01,10.0,multiplicative,1,nan,nan
diaria,12,True,0.05,1.0,additive,1,nan,nan
diaria,12,True,0.05,1.0,multiplicative,1,nan,nan
diaria,12,True,0.05,10.0,additive,1,nan,nan
diaria,12,True,0.05,10.0,multiplicative,1,nan,nan
